"","clay_summary_geo[, 1]","mean","median","var"
"452","1400000US06037238310",8.06944444444444,8,2.43055555555556
"453","1400000US06037239201",8.3292469352014,8,17.5510553968108
"454","1400000US06037239501",8,8,0
"455","1400000US06037239602",8,8,0
"456","1400000US06037239801",7.91276595744681,8,0.139495531461235
"457","1400000US06037240401",8.57900807381776,9,2.084685850974
"458","1400000US06037240800",8.93137254901961,8,32.4026464573559
"459","1400000US06037241110",12.7548076923077,9,74.4197200271638
"460","1400000US06037241300",11.921511627907,9,74.5818946548864
"461","1400000US06037242300",7.76932826362484,8,1.78428647713163
"462","1400000US06037262200",14.407189482394,14,8.05291998735535
"463","1400000US06037262501",10.7387875800887,11,78.4731545450922
"464","1400000US06037264000",9.36931576710582,11,46.3996873292453
"465","1400000US06037265201",6.13774597495528,3,21.531171254352
"466","1400000US06037265303",9.23170731707317,11,15.1729762082897
"467","1400000US06037265420",8.0031914893617,3,36.0031846917273
"468","1400000US06037267402",32.0720887245841,43,266.01146025878
"469","1400000US06037267404",20.3694444444444,9,310.484300526153
"470","1400000US06037267901",29.146375791696,43,320.757432278399
"471","1400000US06037269601",7.74224343675418,8,6.39751744298912
"472","1400000US06037269903",8.57222222222222,8,20.1674713710925
"473","1400000US06037269906",7.96934865900383,8,5.03751842027704
"474","1400000US06037271100",24.4292730844794,8,327.863724348164
"475","1400000US06037271400",16.7289655172414,8,282.988601413579
"476","1400000US06037271701",20.1256961018298,6,354.858391732413
"477","1400000US06037310702",33.951951951952,43,181.815871468764
"478","1400000US06037310703",20.3632750397456,15,153.848037634715
"479","1400000US06037310800",16.4320942215679,10,177.800707431472
"480","1400000US06037311000",21.8353221957041,22,2.49465607523243
"481","1400000US06037311400",19.5573221757322,19,6.77790907115774
"482","1400000US06037311802",18.2932692307692,12,189.91102298808
"483","1400000US06037320300",20.7541436464088,10,245.044086921779
"484","1400000US06037400302",5.16144578313253,5,2.82865131411723
"485","1400000US06037400602",4.22439281942978,4,4.22378925078835
"486","1400000US06037401001",7.7590027700831,6,17.4258127522096
"487","1400000US06037401102",5.29957291031117,5,2.90104377352699
"488","1400000US06037401602",6.21862821512081,6,1.13463920909054
"489","1400000US06037401703",6.37800687285223,6,0.984935502016005
"490","1400000US06037402001",6.01672060409924,6,0.658651733012911
"491","1400000US06037402301",5.74305965741288,6,11.4794509166517
"492","1400000US06037402405",8.27753303964758,7,58.0878104872231
"493","1400000US06037402501",6.12224753227031,6,2.98124479278456
"494","1400000US06037402703",6.44089219330855,6,0.370201584351213
"495","1400000US06037402803",7.35919899874844,9,5.08510010947268
"496","1400000US06037403000",7.49375821287779,7,3.05385521066207
"497","1400000US06037403305",22.8917441224713,25,95.7749263327403
"498","1400000US06037403318",13.7357209737828,9,87.4901964362914
"499","1400000US06037403401",27.4539130434783,29,249.133139693201
"500","1400000US06037403406",17.0176937156803,10,138.833020074631
"501","1400000US06037403702",6.57972350230415,6,6.87538397146214
"502","1400000US06037403722",10.0232358003442,8,86.9628692495831
"503","1400000US06037404201",5.91722972972973,6,6.63219654565808
"504","1400000US06037404701",15.4008360427311,8,285.94380970963
"505","1400000US06037404802",12.2332293291732,8,126.942439055876
"506","1400000US06037404902",15.1261261261261,8,205.458707862316
"507","1400000US06037405102",8.34641068447412,7,42.0244273733862
"508","1400000US06037271702",26.8948545861298,43,341.724654346132
"509","1400000US06037271801",21.5177993527508,8,332.723345554489
"510","1400000US06037271802",12.5925925925926,8,144.065934065934
"511","1400000US06037271901",16.8533333333333,8,255.40928802589
"512","1400000US06037272201",10.0975609756098,8,74.4736331766987
"513","1400000US06037273200",12.009840098401,10,50.9334005901635
"514","1400000US06037273600",10.260752688172,10,6.01536201681645
