"","V1"
"116",38.0676147704591
"117",33.0568173996834
"118",20.2305965362412
"119",36.1856321566019
"120",40.5300600109111
"121",43.219035202086
"122",40.5552523874488
"123",15.2450980392157
"124",77.4759493670886
"125",75.9867424242424
"126",82.1696428571429
"127",47.0349344978166
"128",47.7413533834586
"129",37.8201240523777
"130",37.3425
"131",47.0033898305085
"132",46.3087621696801
"133",48.4132841328413
"134",47.8710659898477
"135",44.3117338003503
"136",29.7186588921283
"137",38.2625147812377
"138",13.1319381255687
"139",11.8286163522013
"140",17.1099635479951
"141",29.9580152671756
"142",73.2858627858628
"143",34.0144665461121
"144",32.4308943089431
"145",42.8764940239044
"146",19.7942779291553
"147",40.5008156606852
"148",42.3056872037915
"149",39.9891461649783
"150",12.8766839378238
"151",46.1601731601732
"152",38.7687296416938
"153",50.2858622790981
"154",34.6402027027027
"155",66.9324227174694
"156",57.2984395318596
"157",58.1880466472303
"158",60.1461318051576
"159",47.9124629080119
"160",51.0825446898002
"161",70.1822064056939
"162",72.5620689655172
"163",41.1298174442191
"164",47.9960975609756
"165",68.0591482649842
"166",40.467042327349
"167",44.4228351955307
"168",35.183734939759
"169",47.555612244898
"170",62.1911181601903
"171",59.5472972972973
"172",49.0611674239776
"173",58.9190620272315
"174",54.5304542676716
"175",41.8177697189483
"176",48.9632231404959
"177",34.0480549199085
"178",34.2917220008854
"179",34.2153846153846
"180",35.1891252955083
"181",61.4751655629139
"182",64.3558776167472
"183",58.8089622641509
"184",52.4724159797083
"185",55.8939393939394
"186",63.30859375
"187",68.0814814814815
"188",67.5930232558139
"189",69.0767531750414
"190",70.2627484874676
"191",71.0984848484848
"192",67.5477560414269
"193",53.4601100412655
"194",45.7083456207608
"195",46.5576351752822
"196",45.7615488114815
"197",47.3551433389545
"198",50.276
"199",52.4346875
"200",45.8432592592593
"201",47.1576153532054
"202",57.7146690518784
"203",72.9455184534271
"204",65.2103610675039
"205",52.0976331360947
"206",48.6532544378698
"207",68.3061660561661
"208",48.7024261911722
"209",59.7346675274371
"210",70.2544311034877
"211",71.4916067146283
"212",64.2122270742358
"213",72.3466397170288
"214",71.2666713661356
"215",58.7651297709336
"216",54.4250333194332
"217",52.9530126111617
"218",70.7214007782101
"219",73.8591380686353
"220",74.4068895935428
"221",40.3329291949563
"222",45.4028488674667
"223",15.3272255240629
"224",73.9203343018042
"225",23.1128353181764
"226",34.6811111111111
"227",41.6712093078907
"228",42.2431252516661
"229",35.2058064609291
"230",31.4087986118199
"231",41.451546818145
"232",35.5216586237712
"233",48.5479429998249
"234",20.5853156744246
"235",19.3667221297837
"236",19.8286963434022
"237",23.4420792079208
"238",26.8130968622101
"239",61.2390349123479
"240",66.2788341934437
"241",65.3715858458031
"242",69.8309287646528
"243",73.298624288425
"244",66.6445702864757
"245",66.0358588779641
"246",65.7326793378296
"247",67.3921351426198
"248",73.4286995515695
"249",50.5836995605274
"250",73.9607072691552
"251",73.4263248599741
"252",73.3653534808419
"253",75.1792828685259
"254",73.7167306461932
"255",73.201030927835
"256",73.5273532668882
"257",73.7319009808501
"258",73.7701249636734
"259",74.3158983451537
"260",68.322129086337
"261",67.0514474061336
"262",72.4429169157203
"263",72.4407064760303
"264",70.3295561850803
"265",71.3326188620421
"266",59.5740830701967
"267",67.6223448275862
"268",64.0598331989669
"269",71.4986285075814
"270",61.132672879153
"271",77.7136656318581
"272",81.5389500843505
"273",63.4519368104698
"274",64.3151525539635
"275",69.2842717107532
"276",72.5769230769231
"277",80.4826448269771
"278",63.0694676933378
"279",60.917473847346
"280",54.7312210751157
"281",52.9923007246377
"282",47.9693761814745
"283",44.6739596626473
"284",45.7167744017705
"285",42.4540754126228
"286",41.0325737616455
"287",41.4743120233367
"288",38.0342335158889
"289",46.5986080966762
"290",54.4569348968864
"291",39.3429822257889
"292",68.7058823529412
"293",45.9641909814324
"294",61.6031746031746
"295",65.3138075313807
"296",68.0236686390533
"297",66.2518518518519
"298",58.5354330708661
"299",59.375
"300",60.7362637362637
"301",58.8203883495146
"302",57.6666666666667
"303",67.1260080645161
"304",57.9044289044289
"305",53.4054580896686
"306",37.4777227722772
"307",59.5150812064965
"308",60.7391304347826
"309",25.6117478510029
"310",48.2408759124088
"311",55.1843711843712
"312",63.0470756062767
"313",57.5894736842105
"314",62.698752228164
"315",31.7142857142857
"316",57.9416767922236
"317",58.6556671449067
"318",55.5150115473441
"319",56.8108552631579
"320",42.730255164034
"321",62.4081196581197
"322",46.6076233183856
"323",63.4201680672269
"324",65.7666068222621
"325",61
"326",61.0071556350626
"327",61.0168711656442
"328",61.0014662756598
"329",52.0535117056856
"330",60.9167803547067
"331",20.9018232819074
"332",38
"333",50.6689655172414
"334",53.0053297105236
"335",42.5112179487179
"336",38.5278219395866
"337",39.0469583778015
"338",39.2322654462243
"339",37.6312554872695
"340",39.7036585365854
"341",37.1056201550388
"342",41.0553662691652
"343",40.8406326034063
"344",38.0124069478908
"345",39.4096385542169
"346",41.4634146341463
"347",44.1536458333333
"348",41.1699092088197
"349",35.5716862037872
"350",35.576354679803
"351",35.1897702001483
"352",34.0017636684303
"353",37.6396694214876
"354",34.0597204574333
"355",39.0278099652375
"356",42.0271299381247
"357",51.7433431952663
"358",52.4921316165951
"359",56.0946601941748
"360",61.5809294871795
"361",53.9401709401709
"362",54.1039168665068
"363",54.3589743589744
"364",49.6947890818859
"365",58.9406779661017
"366",46.4128205128205
"367",54.0342577487765
"368",60.0573333333333
"369",38.4783783783784
"370",50.0717488789238
"371",43.0851948051948
"372",44.6002661934339
"373",39.195930538502
"374",35.2846715328467
"375",35.7902773449673
"376",36.4988529186847
"377",38.8152380952381
"378",39.0256880733945
"379",38.8783185840708
"380",35.7862024775737
"381",42.1626095423564
"382",36.0146198830409
"383",40.8639395286794
"384",49.8231631382316
"385",50.5761482675262
"386",49.8925339366516
"387",52.5754716981132
"388",41.9718804920914
"389",42.6795626576955
"390",50.8236173393124
"391",64.5973451327434
"392",34.0216660440792
"393",63.3241106719368
"394",42.8509615384615
"395",50.0615468409586
"396",40.6767676767677
"397",23.4593023255814
"398",29.6973684210526
"399",35.8076923076923
"400",64.44921875
"401",61.1958041958042
"402",61.4870848708487
"403",44.4070707070707
"404",56.6099732858415
"405",57.020202020202
"406",57.9583333333333
"407",58.9835680751174
"408",64.7967213114754
"409",25.6847457627119
"410",39.631455399061
"411",53.5922480620155
"412",52.2016632016632
"413",58.5908045977012
"414",62.189898989899
"415",52.2824302134647
"416",45.5108481262327
"417",51.3200325732899
"418",51.1327319587629
"419",49.2086553323029
"420",50.5
"421",62.8926701570681
"422",48.7593582887701
"423",64.7906403940887
"424",58.7579250720461
"425",51.4640102827763
"426",46.5337423312883
"427",55.8054755043228
"428",44.536
"429",38.2105263157895
"430",62.5585585585586
"431",42.2478632478633
"432",34.9554140127389
"433",61.1476014760148
"434",66.7755102040816
"435",58.8742857142857
"436",59.9368421052632
"437",62.0940170940171
"438",55.6137339055794
"439",60.510989010989
"440",58.7685950413223
"441",60.8012958963283
"442",60.0796296296296
"443",54.9053103007038
"444",64.4401064773736
"445",61.5698427382054
"446",55.8072289156626
"447",58.869618696187
"448",38.604609929078
"449",61
"450",61
"451",61
"452",60.9186507936508
"453",61.0875656742557
"454",61
"455",61
"456",61.3425531914894
"457",60.5997693194925
"458",60.0110294117647
"459",46.6762820512821
